,TP9,AF7,AF8,TP10,Right AUX,timestamps
102,389.160,43.457,-847.656,352.051,19.043,1730817199.771
103,238.770,47.852,85.449,160.156,-41.504,1730817199.777
104,-78.125,54.199,-1000.000,-103.027,-24.902,1730817199.782
105,-146.484,49.805,-690.918,-96.680,13.184,1730817199.787
106,134.766,40.039,559.082,169.922,74.707,1730817199.792
107,389.648,40.039,-806.641,339.355,103.027,1730817199.798
108,264.160,41.504,200.195,169.434,54.199,1730817199.809
109,-46.387,46.387,-1000.000,-109.375,80.566,1730817199.814
110,-182.129,42.969,-815.430,-161.133,65.918,1730817199.820
111,49.316,39.062,373.535,106.934,25.391,1730817199.825
112,330.078,40.039,-813.477,327.148,46.875,1730817199.830
113,251.465,41.504,376.953,191.895,73.730,1730817199.836
114,-49.316,39.551,-908.691,-89.844,31.738,1730817199.841
115,-196.289,39.551,-943.848,-169.922,47.852,1730817199.846
116,-4.883,37.598,180.664,47.363,86.914,1730817199.852
117,283.203,33.691,-828.613,280.762,84.473,1730817199.857
118,273.926,39.062,472.656,210.449,16.602,1730817199.862
119,-18.555,42.969,-808.105,-66.895,12.207,1730817199.868
120,-220.215,42.969,-1000.000,-198.730,42.480,1730817199.876
121,-60.547,37.109,16.113,-3.906,30.762,1730817199.881
122,250.977,41.016,-833.008,266.113,59.570,1730817199.886
123,278.320,46.875,576.660,226.562,35.645,1730817199.892
124,7.812,42.969,-705.078,-42.969,29.297,1730817199.897
125,-216.309,40.039,-1000.000,-191.406,24.414,1730817199.902
126,-110.352,35.156,-27.344,-35.156,20.996,1730817199.908
127,206.055,30.273,-892.090,236.816,43.945,1730817199.913
128,288.086,36.133,783.203,252.930,46.387,1730817199.919
129,39.062,44.434,-416.504,4.395,-19.043,1730817199.924
130,-214.844,44.434,-1000.000,-189.453,-58.105,1730817199.929
131,-136.230,42.969,-210.449,-68.848,-12.695,1730817199.935
132,194.824,41.992,-958.496,227.539,-20.508,1730817199.949
133,305.176,39.062,928.711,269.043,19.043,1730817199.954
134,69.336,41.992,-219.727,11.719,40.039,1730817199.960
135,-192.871,45.898,-1000.000,-206.055,13.672,1730817199.965
136,-157.715,41.992,-291.504,-107.422,51.270,1730817199.971
137,147.949,38.574,-996.582,194.824,85.938,1730817199.976
138,311.523,40.039,993.652,287.109,82.031,1730817199.982
139,126.465,44.434,-151.855,43.945,36.621,1730817199.987
140,-165.039,50.293,-1000.000,-189.453,46.387,1730817199.992
141,-194.824,44.434,-417.480,-122.070,63.965,1730817199.998
142,112.793,34.180,868.164,168.945,29.297,1730817200.003
143,317.871,30.273,-902.344,270.996,33.691,1730817200.009
144,143.555,39.551,14.648,57.617,35.645,1730817200.018
145,-164.062,41.504,-1000.000,-170.898,14.160,1730817200.023
146,-212.891,36.133,-671.875,-151.855,-23.926,1730817200.028
147,74.219,33.203,553.711,129.883,8.789,1730817200.034
148,309.082,30.273,-823.730,286.133,40.039,1730817200.039
149,184.082,38.086,188.477,103.027,98.633,1730817200.045
150,-117.188,41.016,-1000.000,-155.762,51.270,1730817200.050
151,-215.332,35.156,-718.750,-169.434,24.902,1730817200.056
152,38.574,28.809,536.133,98.145,86.426,1730817200.061
153,302.734,26.367,-806.641,284.180,90.820,1730817200.067
154,208.984,36.133,210.938,143.066,89.844,1730817200.072
155,-98.145,35.645,-1000.000,-118.164,27.832,1730817200.077
156,-242.676,25.879,-865.723,-183.594,5.859,1730817200.089
157,-15.137,23.926,293.945,58.594,3.418,1730817200.094
158,298.828,26.367,-807.129,296.875,16.602,1730817200.100
159,254.883,30.762,368.652,174.316,24.414,1730817200.105
160,-64.941,30.762,-909.668,-130.859,-5.859,1730817200.111
161,-233.887,33.203,-996.094,-215.820,58.105,1730817200.116
162,-42.480,32.227,91.797,32.227,70.801,1730817200.122
163,266.602,28.809,-835.938,283.691,19.531,1730817200.127
164,275.879,31.738,543.945,208.008,11.719,1730817200.133
165,-22.461,33.203,-723.145,-69.824,18.066,1730817200.138
166,-241.211,35.645,-1000.000,-209.961,13.672,1730817200.144
167,-92.773,41.016,-95.215,-20.020,-0.488,1730817200.149
168,240.234,37.109,-846.191,261.230,-4.395,1730817200.157
169,286.621,35.645,627.930,226.074,10.742,1730817200.163
170,6.836,40.527,-661.133,-47.852,43.457,1730817200.168
171,-226.074,43.457,-1000.000,-209.961,38.574,1730817200.174
172,-135.742,41.016,-93.262,-67.383,25.391,1730817200.179
173,179.688,30.762,-906.738,211.914,31.250,1730817200.185
174,290.039,33.203,817.871,250.488,-15.137,1730817200.190
175,48.828,41.016,-353.516,0.000,22.461,1730817200.196
176,-216.309,42.480,-1000.000,-198.730,10.254,1730817200.201
177,-167.480,41.992,-335.938,-92.773,-13.672,1730817200.207
178,148.926,35.156,966.309,198.242,45.410,1730817200.212
179,294.922,32.227,968.750,269.043,44.922,1730817200.218
180,91.797,40.527,-192.383,21.484,40.039,1730817200.220
181,-174.805,42.480,-1000.000,-209.473,65.430,1730817200.226
182,-178.711,38.086,-375.488,-136.719,73.242,1730817200.231
183,118.164,35.156,937.988,171.387,46.387,1730817200.237
184,312.988,36.621,-961.426,272.461,24.414,1730817200.242
185,135.742,42.480,-93.262,51.758,2.930,1730817200.248
186,-171.387,41.992,-1000.000,-194.824,-32.715,1730817200.253
187,-215.820,38.574,-517.090,-160.156,0.977,1730817200.259
188,77.637,36.133,770.020,133.301,50.781,1730817200.264
189,307.129,35.156,-871.094,273.438,24.414,1730817200.270
190,166.016,40.039,53.223,88.379,15.625,1730817200.275
191,-135.254,40.039,-1000.000,-166.504,20.020,1730817200.281
192,-229.980,34.180,-727.539,-177.734,18.066,1730817200.281
193,29.785,33.691,469.727,98.633,37.598,1730817200.287
194,293.457,35.645,-811.035,287.598,34.668,1730817200.292
195,203.613,34.668,232.910,125.977,56.152,1730817200.298
196,-105.469,34.668,-1000.000,-149.902,52.246,1730817200.303
197,-247.070,34.180,-842.773,-204.590,7.324,1730817200.309
198,-22.461,28.320,349.121,41.016,-59.570,1730817200.314
199,267.578,24.902,-795.898,250.488,-46.387,1730817200.319
200,221.680,32.227,276.855,136.719,8.301,1730817200.325
201,-83.984,38.574,-1000.000,-129.395,7.324,1730817200.330
202,-252.930,32.715,-912.598,-205.078,5.371,1730817200.336
203,-57.129,26.367,235.840,12.207,41.992,1730817200.341
204,262.207,30.762,-827.637,246.582,15.625,1730817200.337
205,246.094,31.738,517.578,183.594,-14.648,1730817200.343
206,-47.852,32.715,-766.602,-95.215,47.852,1730817200.348
207,-254.883,32.227,-1000.000,-216.309,22.949,1730817200.354
208,-125.488,26.367,45.898,-14.160,-14.160,1730817200.359
209,208.008,26.855,-852.051,241.211,13.184,1730817200.365
210,276.367,34.668,643.555,206.543,25.879,1730817200.370
211,-0.977,38.086,-626.953,-69.336,19.043,1730817200.375
212,-232.910,38.086,-1000.000,-233.398,51.270,1730817200.381
213,-123.535,39.062,-51.270,-48.828,58.594,1730817200.386
214,189.941,33.691,-877.930,240.723,60.547,1730817200.392
215,283.203,31.250,747.070,244.141,53.223,1730817200.397
216,47.363,38.574,-472.656,-26.367,61.035,1730817200.391
217,-198.730,40.039,-1000.000,-218.262,31.738,1730817200.397
218,-150.879,33.691,-169.434,-82.520,40.039,1730817200.402
219,151.367,31.250,-948.242,213.867,34.668,1730817200.407
220,291.504,35.645,933.594,263.672,52.246,1730817200.413
221,72.266,36.133,-191.895,5.859,65.430,1730817200.418
222,-201.172,33.203,-1000.000,-193.359,0.977,1730817200.423
223,-178.711,30.762,-394.531,-96.680,-21.973,1730817200.429
224,122.070,26.855,920.898,174.805,20.020,1730817200.434
225,302.734,27.344,-958.008,274.902,13.184,1730817200.439
226,117.188,27.344,-81.055,62.988,8.789,1730817200.445
227,-177.246,32.715,-1000.000,-179.688,44.434,1730817200.450
228,-211.914,31.738,-488.281,-134.277,38.086,1730817200.440
229,77.148,28.809,814.453,145.508,32.715,1730817200.445
230,300.293,31.250,-889.648,290.527,43.457,1730817200.451
231,158.691,35.645,22.949,112.793,23.438,1730817200.456
232,-142.090,41.992,-1000.000,-154.785,35.645,1730817200.461
233,-218.750,35.156,-609.863,-165.527,60.059,1730817200.466
234,42.480,21.484,660.156,108.887,117.188,1730817200.472
235,284.668,21.973,-825.195,285.645,91.797,1730817200.477
236,176.758,29.297,180.664,122.070,44.922,1730817200.482
237,-128.418,30.762,-1000.000,-148.926,60.547,1730817200.488
238,-241.699,28.320,-828.613,-191.895,34.668,1730817200.493
239,-8.789,30.273,314.453,64.941,-33.203,1730817200.498
240,269.531,26.367,-813.965,272.461,-76.660,1730817200.488
